,currency_code,rate_per_1EUR
0,AED,3.91702
1,AFN,93.316264
2,ALL,114.121172
3,AMD,419.34486
4,ANG,1.922117
5,AOA,537.16576
6,ARS,188.511704
7,AUD,1.574481
8,AWG,1.922462
9,AZN,1.746751
10,BAM,1.960763
11,BBD,2.153417
12,BDT,109.503526
13,BGN,1.954887
14,BHD,0.40209
15,BIF,2199.23257
16,BMD,1.066553
17,BND,1.438252
18,BOB,7.36954
19,BRL,5.638335
20,BSD,1.066483
21,BTC,6.4269085e-05
22,BTN,88.269944
23,BWP,13.672969
24,BYN,2.692473
25,BYR,20904.441502
26,BZD,2.149708
27,CAD,1.446299
28,CDF,2163.565099
29,CHF,0.984855
30,CLF,0.033106
31,CLP,913.50235
32,CNY,7.427584
33,COP,5171.652172
34,CRC,624.230382
35,CUC,1.066553
36,CUP,28.263658
37,CVE,110.9745
38,CZK,24.199339
39,DJF,189.547642
40,DKK,7.438785
41,DOP,60.052113
42,DZD,146.588152
43,EGP,26.396118
44,ERN,15.998297
45,ETB,57.167609
46,EUR,1.0
47,FJD,2.344657
48,FKP,0.88644
49,GBP,0.884389
50,GEL,2.878358
51,GGP,0.88644
52,GHS,10.665589
53,GIP,0.88644
54,GMD,66.072511
55,GNF,9359.003964
56,GTQ,8.369355
57,GYD,223.138675
58,HKD,8.313089
59,HNL,26.317163
60,HRK,7.539786
61,HTG,156.776404
62,HUF,400.149504
63,IDR,16669.318975
64,ILS,3.755281
65,IMP,0.88644
66,INR,88.348572
67,IQD,1557.700858
68,IRR,44635.248571
69,ISK,151.940677
70,JEP,0.88644
71,JMD,162.210157
72,JOD,0.756506
73,JPY,141.790828
74,KES,131.6141
75,KGS,91.382083
76,KHR,4390.998838
77,KMF,492.346907
78,KPW,959.915559
79,KRW,1344.902092
80,KWD,0.326546
81,KYD,0.888769
82,KZT,492.253752
83,LAK,18499.364397
84,LBP,1616.247059
85,LKR,389.814269
86,LRD,164.784204
87,LSL,18.259828
88,LTL,3.149254
89,LVL,0.645147
90,LYD,5.151436
91,MAD,11.158809
92,MDL,20.428893
93,MGA,4765.35964
94,MKD,61.754143
95,MMK,2239.69863
96,MNT,3654.87425
97,MOP,8.56166
98,MRO,380.759287
99,MUR,46.982163
100,MVR,16.435278
101,MWK,1091.084279
102,MXN,20.753735
103,MYR,4.717899
104,MZN,68.077802
105,NAD,18.259286
106,NGN,477.368071
107,NIO,38.790447
108,NOK,10.549061
109,NPR,141.230944
110,NZD,1.680552
111,OMR,0.410634
112,PAB,1.066483
113,PEN,4.039066
114,PGK,3.759584
115,PHP,59.35578
116,PKR,241.521543
117,PLN,4.67893
118,PYG,7837.193733
119,QAR,3.883586
120,RON,4.951686
121,RSD,117.331753
122,RUB,78.925035
123,RWF,1138.012198
124,SAR,4.010168
125,SBD,8.814639
126,SCR,14.119675
127,SDG,610.60537
128,SEK,11.157113
129,SGD,1.433018
130,SHP,1.469075
131,SLE,20.08851
132,SLL,20157.853986
133,SOS,606.370097
134,SRD,33.93026
135,STD,22075.496591
136,SVC,9.331782
137,SYP,2679.755237
138,SZL,18.25916
139,THB,36.904984
140,TJS,10.867538
141,TMT,3.743602
142,TND,3.331927
143,TOP,2.503467
144,TRY,19.953567
145,TTD,7.247633
146,TWD,32.712144
147,TZS,2487.20149
148,UAH,39.387588
149,UGX,3961.024908
150,USD,1.066553
151,UYU,42.718066
152,UZS,11972.059581
153,VEF,1788125.81192
154,VES,17.898628
155,VND,25191.985116
156,VUV,126.538745
157,WST,2.894195
158,XAF,657.626813
159,XAG,0.04462
160,XAU,0.000588
161,XCD,2.882413
162,XDR,0.801435
163,XOF,658.063478
164,XPF,119.770991
165,YER,266.90473
166,ZAR,18.075703
167,ZMK,9600.255349
168,ZMW,19.282409
169,ZWL,343.429675
