code,currency,rate_per_1EUR
AFN,Afghani,92.273094
ALL,Lek,114.846297
DZD,Algerian Dinar,146.623806
USD,US Dollar,1.066496
EUR,Euro,1.0
AOA,Kwanza,538.189456
XCD,East Caribbean Dollar,2.88226
ARS,Argentine Peso,183.503925
AMD,Armenian Dram,422.419746
AWG,Aruban Florin,1.919693
AUD,Australian Dollar,1.55719
AZN,Azerbaijanian Manat,1.813353
BSD,Bahamian Dollar,1.065351
BHD,Bahraini Dinar,0.402057
BDT,Taka,109.99644
BBD,Barbados Dollar,2.151005
BYR,Belarussian Ruble,20903.328219
BZD,Belize Dollar,2.147405
XOF,CFA Franc BCEAO,656.050095
BMD,Bermudian Dollar,1.066496
BTN,Ngultrum,87.906295
BAM,Convertible Mark,1.956126
BWP,Pula,13.640636
BRL,Brazilian Real,5.630569
BGN,Bulgarian Lev,1.956078
BIF,Burundi Franc,2206.640364
KHR,Riel,4379.539335
XAF,CFA Franc BEAC,656.050095
CAD,Canadian Dollar,1.446116
CVE,Cabo Verde Escudo,110.28582
KYD,Cayman Islands Dollar,0.887826
CLF,Unidad de Fomento,0.033671
CNY,Yuan Renminbi,7.418867
COP,Colombian Peso,5096.071445
KMF,Comoro Franc,491.814546
NZD,New Zealand Dollar,1.653901
CRC,Costa Rican Colon,631.769649
HRK,Croatian Kuna,7.540661
CUC,Peso Convertible,1.066496
DKK,Danish Krone,7.438428
DJF,Djibouti Franc,189.656913
DOP,Dominican Peso,58.625319
EGP,Egyptian Pound,26.350781
SVC,El Salvador Colon,9.322323
ERN,Nakfa,15.997445
ETB,Ethiopian Birr,57.007089
FJD,Fiji Dollar,2.331201
XPF,CFP Franc,120.012861
GMD,Dalasi,66.176109
GEL,Lari,2.831582
GHS,Ghana Cedi,10.81354
GIP,Gibraltar Pound,0.861864
GTQ,Quetzal,8.384583
GBP,Pound Sterling,0.8599
GNF,Guinea Franc,9179.916571
GYD,Guyana Dollar,222.889988
HTG,Gourde,155.000181
HNL,Lempira,26.294731
HKD,Hong Kong Dollar,8.292121
HUF,Forint,405.855149
ISK,Iceland Krona,150.898716
INR,Indian Rupee,88.047758
IDR,Rupiah,16657.126376
IQD,Iraqi Dinar,1554.88522
ILS,New Israeli Sheqel,3.625288
JMD,Jamaican Dollar,163.549208
JPY,Yen,144.460665
JOD,Jordanian Dinar,0.756467
KZT,Tenge,500.340999
KES,Kenyan Shilling,130.880447
KWD,Kuwaiti Dinar,0.32702
KGS,Som,90.59885
LBP,Lebanese Pound,1611.028608
LSL,Loti,18.365452
LRD,Liberian Dollar,164.453046
LYD,Libyan Dinar,5.156632
CHF,Swiss Franc,0.986637
MOP,Pataca,8.52909
MGA,Malagasy Ariary,4711.958635
MWK,Kwacha,1093.461164
MYR,Malaysian Ringgit,4.702721
MVR,Rufiyaa,16.4226
MRO,Ouguiya,380.739009
MUR,Mauritius Rupee,46.86709
MXN,Mexican Peso,20.95251
MNT,Tugrik,3657.253432
MAD,Moroccan Dirham,11.153196
MZN,Mozambique Metical,68.074569
MMK,Kyat,2237.195662
NAD,Namibia Dollar,18.365036
NPR,Nepalese Rupee,140.643958
NIO,Cordoba Oro,38.895519
NGN,Naira,475.081279
NOK,Norwegian Krone,10.410673
OMR,Rial Omani,0.410568
PKR,Pakistan Rupee,239.566395
PAB,Balboa,1.065371
PGK,Kina,3.753833
PYG,Guarani,7680.289847
PEN,Nuevo Sol,4.067115
PHP,Philippine Peso,59.520112
PLN,Zloty,4.679946
QAR,Qatari Rial,3.882847
RON,New Romanian Leu,4.924651
RWF,Rwanda Franc,1144.162359
WST,Tala,2.879539
SAR,Saudi Riyal,4.009666
RSD,Serbian Dinar,117.400288
SCR,Seychelles Rupee,13.81496
SLL,Leone,19879.491838
SGD,Singapore Dollar,1.438293
SBD,Solomon Islands Dollar,8.749092
SOS,Somali Shilling,606.300282
ZAR,Rand,18.397253
LKR,Sri Lanka Rupee,389.378654
SDG,Sudanese Pound,606.303018
SRD,Surinam Dollar,33.779113
SEK,Swedish Krona,10.861823
TJS,Somoni,10.776334
THB,Baht,36.959966
TOP,Paâanga,2.48355
TTD,Trinidad and Tobago Dollar,7.231726
TND,Tunisian Dinar,3.382389
TRY,Turkish Lira,19.870213
TMT,Turkmenistan New Manat,3.732737
UGX,Uganda Shilling,3936.50624
UAH,Hryvnia,39.344283
AED,UAE Dirham,3.917347
UYU,Peso Uruguayo,41.363033
UZS,Uzbekistan Sum,11991.816543
VUV,Vatu,125.977924
YER,Yemeni Rial,267.023998
ZMW,Zambian Kwacha,18.691252
ZWL,Zimbabwe Dollar,343.411386
