,currency_code,rate_per_1EUR
0,AED,3.917347
1,AFN,92.273094
2,ALL,114.846297
3,AMD,422.419746
4,ANG,1.919972
5,AOA,538.189456
6,ARS,183.503925
7,AUD,1.55719
8,AWG,1.919693
9,AZN,1.813353
10,BAM,1.956126
11,BBD,2.151005
12,BDT,109.99644
13,BGN,1.956078
14,BHD,0.402057
15,BIF,2206.640364
16,BMD,1.066496
17,BND,1.43465
18,BOB,7.361652
19,BRL,5.630569
20,BSD,1.065351
21,BTC,6.0379557e-05
22,BTN,87.906295
23,BWP,13.640636
24,BYN,2.688982
25,BYR,20903.328219
26,BZD,2.147405
27,CAD,1.446116
28,CDF,2173.519743
29,CHF,0.986637
30,CLF,0.033671
31,CLP,929.078351
32,CNY,7.418867
33,COP,5096.071445
34,CRC,631.769649
35,CUC,1.066496
36,CUP,28.262153
37,CVE,110.28582
38,CZK,24.270046
39,DJF,189.656913
40,DKK,7.438428
41,DOP,58.625319
42,DZD,146.623806
43,EGP,26.350781
44,ERN,15.997445
45,ETB,57.007089
46,EUR,1.0
47,FJD,2.331201
48,FKP,0.861864
49,GBP,0.8599
50,GEL,2.831582
51,GGP,0.861864
52,GHS,10.81354
53,GIP,0.861864
54,GMD,66.176109
55,GNF,9179.916571
56,GTQ,8.384583
57,GYD,222.889988
58,HKD,8.292121
59,HNL,26.294731
60,HRK,7.540661
61,HTG,155.000181
62,HUF,405.855149
63,IDR,16657.126376
64,ILS,3.625288
65,IMP,0.861864
66,INR,88.047758
67,IQD,1554.88522
68,IRR,44099.623676
69,ISK,150.898716
70,JEP,0.861864
71,JMD,163.549208
72,JOD,0.756467
73,JPY,144.460665
74,KES,130.880447
75,KGS,90.59885
76,KHR,4379.539335
77,KMF,491.814546
78,KPW,959.760063
79,KRW,1387.591656
80,KWD,0.32702
81,KYD,0.887826
82,KZT,500.340999
83,LAK,18454.718757
84,LBP,1611.028608
85,LKR,389.378654
86,LRD,164.453046
87,LSL,18.365452
88,LTL,3.149086
89,LVL,0.645113
90,LYD,5.156632
91,MAD,11.153196
92,MDL,20.614318
93,MGA,4711.958635
94,MKD,61.6249
95,MMK,2237.195662
96,MNT,3657.253432
97,MOP,8.52909
98,MRO,380.739009
99,MUR,46.86709
100,MVR,16.4226
101,MWK,1093.461164
102,MXN,20.95251
103,MYR,4.702721
104,MZN,68.074569
105,NAD,18.365036
106,NGN,475.081279
107,NIO,38.895519
108,NOK,10.410673
109,NPR,140.643958
110,NZD,1.653901
111,OMR,0.410568
112,PAB,1.065371
113,PEN,4.067115
114,PGK,3.753833
115,PHP,59.520112
116,PKR,239.566395
117,PLN,4.679946
118,PYG,7680.289847
119,QAR,3.882847
120,RON,4.924651
121,RSD,117.400288
122,RUB,69.05549
123,RWF,1144.162359
124,SAR,4.009666
125,SBD,8.749092
126,SCR,13.81496
127,SDG,606.303018
128,SEK,10.861823
129,SGD,1.438293
130,SHP,1.468996
131,SLE,19.894503
132,SLL,19879.491838
133,SOS,606.300282
134,SRD,33.779113
135,STD,22074.320943
136,SVC,9.322323
137,SYP,2679.47391
138,SZL,18.247889
139,THB,36.959966
140,TJS,10.776334
141,TMT,3.732737
142,TND,3.382389
143,TOP,2.48355
144,TRY,19.870213
145,TTD,7.231726
146,TWD,32.591593
147,TZS,2487.069605
148,UAH,39.344283
149,UGX,3936.50624
150,USD,1.066496
151,UYU,41.363033
152,UZS,11991.816543
153,VEF,1503091.341163
154,VES,15.034825
155,VND,25089.326345
156,VUV,125.977924
157,WST,2.879539
158,XAF,656.050095
159,XAG,0.045311
160,XAU,0.000593
161,XCD,2.88226
162,XDR,0.803114
163,XOF,656.050095
164,XPF,120.012861
165,YER,267.023998
166,ZAR,18.397253
167,ZMK,9599.744526
168,ZMW,18.691252
169,ZWL,343.411386
